Time Series,Ground Truth,Max Eigen Ratio,Variance of Eigen Ratio,Normalized Area Under Eigen Ratio,Min Eigen Threshold Value
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,8
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,8
a3.944444,NON-STOCHASTIC,27.567562047260115,9.107901040815293,22.758585635533848,8
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,8
a3.888889,NON-STOCHASTIC,17.164653710030958,7.857551610058773,21.911459891798575,8
a4.000000,NON-STOCHASTIC,43.17789725378,32.453042591656036,28.63086612121078,8
a3.777778,NON-STOCHASTIC,29.191410575278727,13.708405527950232,26.534170568924704,9
lorenz,NON-STOCHASTIC,1190.57809226441,7188.2723486576015,68.45143824348598,9
a3.722222,NON-STOCHASTIC,15.642543658928464,2.463030967014048,19.646474196370427,9
a3.666667,NON-STOCHASTIC,325.6179534493502,245.4007766331659,23.156442686056803,9
a3.611111,NON-STOCHASTIC,118.16381696666787,86.16696217423068,17.720817702766727,9
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,9
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,9
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,9
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,9
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,9
a3.944444,NON-STOCHASTIC,27.567562047260115,9.133279409356557,23.106259217285036,9
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,9
a3.888889,NON-STOCHASTIC,17.164653710030958,7.43563331048945,22.61143628796516,9
a4.000000,NON-STOCHASTIC,43.17789725378,32.78197090447787,29.759466348079126,9
a3.777778,NON-STOCHASTIC,29.191410575278727,14.314919216381098,27.518954154630148,10
lorenz,NON-STOCHASTIC,4105.394964158374,50238.85231378671,88.6815064896757,10
a3.722222,NON-STOCHASTIC,15.642543658928464,2.472126740328558,21.308632786716355,10
a3.666667,NON-STOCHASTIC,325.6179534493502,220.25163028773818,24.305039368618388,10
a3.611111,NON-STOCHASTIC,118.16381696666787,85.8224136319398,17.742023158822313,10
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,10
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,10
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,10
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,10
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,10
a3.944444,NON-STOCHASTIC,27.567562047260115,9.48388702601917,24.18617199047951,10
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,10
a3.888889,NON-STOCHASTIC,17.164653710030958,7.577274407292222,23.58904094335312,10
a4.000000,NON-STOCHASTIC,43.17789725378,33.69915011780527,30.933426543560884,10
a3.777778,NON-STOCHASTIC,29.191410575278727,13.134553823783529,28.832289107134724,11
lorenz,NON-STOCHASTIC,4105.394964158374,49727.45882411309,89.0883126208747,11
a3.722222,NON-STOCHASTIC,15.642543658928464,2.414014659162138,21.856069643768684,11
a3.666667,NON-STOCHASTIC,325.6179534493502,220.25163028773818,24.305039368618388,11
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,11
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,11
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,11
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,11
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,11
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6659996876325617,12.736785653276566,11
a3.944444,NON-STOCHASTIC,27.567562047260115,9.948878398880378,27.650444044354273,11
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,11
a3.888889,NON-STOCHASTIC,17.164653710030958,7.482944920954215,23.97841161387114,11
a4.000000,NON-STOCHASTIC,43.17789725378,33.30454330780248,31.087161464215338,11
a3.777778,NON-STOCHASTIC,29.191410575278727,13.134553823783529,28.832289107134724,12
lorenz,NON-STOCHASTIC,4105.394964158374,49958.71732473432,99.08585864110363,12
a3.722222,NON-STOCHASTIC,15.642543658928464,2.414014659162138,21.856069643768684,12
a3.666667,NON-STOCHASTIC,325.6179534493502,220.25163028773818,24.305039368618388,12
a3.611111,NON-STOCHASTIC,118.16381696666787,83.49877032096254,17.98343009742357,12
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,12
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,12
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,12
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,12
